30 30
15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15
4	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	5	5	5	5	5	5	3	5	5	5	5	5	5	5
7	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	6	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	2	5	5	5	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	7	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	6	6	0
9	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	5	5	5	5	5	5	1	5	5	5	5	5	5	5
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	6	6	6	6	6	7	6	6	6	6	6	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	0	0	0	0	0	0	0	0	0	0	0	6	7	7	6	0	0	0	0	6	7	6	0	0	0	0	6	0
7	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	7	6	0	0	0	0	6	0
9	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	5	5	5	5	5	5	1	5	5	5	5	5	5	5
7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0
12	5	5	5	5	5	5	5	5	5	5	5	5	5	11	11	5	5	5	5	5	5	11	5	5	5	5	5	5	5
